Date,Open,High,Low,Close,Adj Close,Volume
2014-10-30,0.961250,1.000000,0.932500,0.986250,0.471152,4043200
2014-10-31,1.037500,1.075000,1.031250,1.031250,0.492649,11618400
2014-11-03,1.050000,1.098750,1.048750,1.075000,0.513550,8204000
2014-11-04,1.078750,1.093750,1.067500,1.071250,0.511758,5909600
2014-11-05,1.068750,1.087500,1.050000,1.086250,0.518924,3698400
2014-11-06,1.063750,1.085000,1.048750,1.063750,0.508175,5340800
2014-11-07,1.053750,1.075000,1.032500,1.073750,0.512952,6216800
2014-11-10,1.072500,1.080000,1.041250,1.056250,0.504592,5251200
2014-11-11,1.062500,1.062500,1.020000,1.035000,0.494441,4851200
2014-11-12,1.031250,1.038750,1.000000,1.001250,0.478318,4709600
2014-11-13,1.003750,1.007500,0.968750,0.987500,0.471749,3056800
2014-11-14,0.973750,1.010000,0.956250,0.985000,0.470555,6986400
2014-11-17,0.972500,0.992500,0.961250,0.971250,0.463986,2943200
2014-11-18,0.972500,1.008750,0.960000,1.006250,0.480706,4147200
2014-11-19,1.006250,1.041250,1.005000,1.037500,0.495635,4953600
2014-11-21,1.030000,1.065000,1.013750,1.037500,0.495635,5066400
2014-11-24,1.036250,1.083750,1.036250,1.066250,0.509370,4271200
2014-11-25,1.080000,1.082500,1.018750,1.018750,0.486678,6718400
2014-11-26,1.023750,1.033750,1.008750,1.015000,0.484886,2926400
2014-11-27,1.021250,1.030000,1.007500,1.022500,0.488469,2666400
2014-11-28,1.015000,1.022500,0.981250,0.993750,0.474735,5672000
2014-12-01,0.998750,1.001250,0.971250,0.971250,0.463986,24457360
2014-12-02,0.988750,1.003750,0.976250,1.000000,0.477721,27276104
2014-12-03,1.007500,1.023750,0.983750,1.012500,0.483692,7172000
2014-12-04,1.022500,1.022500,0.966250,0.973750,0.465180,6388000
2014-12-05,0.978750,0.993750,0.972500,0.981250,0.468763,2021600
2014-12-08,0.983750,0.986250,0.938750,0.945000,0.451446,2022400
2014-12-09,0.943750,0.960000,0.943750,0.956250,0.456820,504000
2014-12-10,0.961250,0.995000,0.951250,0.965000,0.461000,2757600
2014-12-11,0.970000,0.970000,0.955000,0.955000,0.456223,2844800
2014-12-12,0.952500,0.952500,0.900000,0.900000,0.429949,3224000
2014-12-15,0.908750,0.917500,0.885000,0.892500,0.426366,2537600
2014-12-16,0.888750,0.917500,0.882500,0.908750,0.434129,3568000
2014-12-17,0.915000,0.937500,0.896250,0.925000,0.441892,5076800
2014-12-18,0.931250,0.946250,0.913750,0.925000,0.441892,1684000
2014-12-19,0.937500,0.963750,0.928750,0.950000,0.453835,1935200
2014-12-22,0.956250,0.975000,0.931250,0.956250,0.456820,2678400
2014-12-23,0.966250,0.982500,0.942500,0.945000,0.451446,2545600
2014-12-26,0.941250,0.978750,0.941250,0.948750,0.453237,2775200
2014-12-29,0.947500,0.967500,0.942500,0.966250,0.461598,1162400
2014-12-30,0.965000,0.993750,0.963750,0.963750,0.460403,2480000
2015-01-02,0.975000,0.975000,0.926250,0.931250,0.444877,1580800
2015-01-05,0.942500,0.962500,0.918750,0.948750,0.453237,2581600
2015-01-06,0.953750,0.953750,0.932500,0.936250,0.447266,3143200
2015-01-07,0.950000,0.968750,0.938750,0.967500,0.462195,1613600
2015-01-08,0.957500,0.968750,0.950000,0.960000,0.458612,2098400
2015-01-09,0.955000,0.970000,0.912500,0.927500,0.443086,3756800
2015-01-12,0.928750,0.948750,0.923750,0.937500,0.447863,1572800
2015-01-13,0.941250,0.951250,0.927500,0.927500,0.443086,1203200
2015-01-14,0.927500,0.932500,0.908750,0.912500,0.435920,2667200
2015-01-15,0.908750,0.922500,0.900000,0.910000,0.475456,1853600
2015-01-16,0.915000,0.930000,0.911250,0.917500,0.479375,2553600
2015-01-19,0.915000,0.931250,0.900000,0.912500,0.476762,2296000
2015-01-20,0.923750,0.923750,0.872500,0.875000,0.457169,4637600
2015-01-21,0.876250,0.897500,0.865000,0.881250,0.460435,4798400
2015-01-22,0.880000,0.895000,0.868750,0.877500,0.458475,2961600
2015-01-23,0.875000,0.893750,0.857500,0.881250,0.460435,2736800
2015-01-26,0.882500,0.883750,0.833750,0.875000,0.457169,3516000
2015-01-27,0.875000,0.878750,0.830000,0.850000,0.444107,4622400
2015-01-28,0.828750,0.842500,0.803750,0.826250,0.431698,4401600
2015-01-29,0.823750,0.862500,0.810000,0.856250,0.447373,2913600
2015-01-30,0.836250,0.850000,0.822500,0.850000,0.444107,2573600
2015-02-02,0.835000,0.860000,0.835000,0.855000,0.446720,1972800
2015-02-03,0.860000,0.865000,0.815000,0.820000,0.428433,3435200
2015-02-04,0.830000,0.836250,0.806250,0.811250,0.423861,2541600
2015-02-05,0.808750,0.816250,0.782500,0.800000,0.417983,4316000
